weekday,00-7,0-3	7.61275961142,478.50237103
weekday,00-7,3-6	15.4919841209,1004.64325138
weekday,00-7,6-9	23.779094687,1370.72518097
weekday,00-7,9-12	31.0158112977,1551.7761182
weekday,00-7,12-15	40.250686713,1884.95615182
weekday,00-7,15-18	51.2826962527,2073.41530729
weekday,00-7,18-21	53.489324569,2312.01173371
weekday,00-7,21-24	58.0764282105,2658.11862801
weekday,00-7,24-infinite	89.039124462,3228.77754849
weekday,7-10,0-3	8.75030333225,688.102051836
weekday,7-10,3-6	17.8654242843,1405.80479803
weekday,7-10,6-9	25.9930581992,1700.1761244
weekday,7-10,9-12	34.7366622578,2246.50662655
weekday,7-10,12-15	43.1034940825,2661.32125992
weekday,7-10,15-18	52.2959106468,3081.79552099
weekday,7-10,18-21	54.1394860572,3437.84733793
weekday,7-10,21-24	56.4214565511,3642.76066524
weekday,7-10,24-infinite	85.0170449173,3952.97416413
weekday,10-12,0-3	9.22656113806,768.86803896
weekday,10-12,3-6	18.9119652274,1567.74080693
weekday,10-12,6-9	26.6550554986,1754.77837083
weekday,10-12,9-12	34.6926451802,2192.00375994
weekday,10-12,12-15	42.8087035278,2448.34948861
weekday,10-12,15-18	52.3146384489,2811.56377272
weekday,10-12,18-21	54.2837413882,3219.81651671
weekday,10-12,21-24	56.3231168963,3513.71841155
weekday,10-12,24-infinite	81.0194874202,3865.6943297
weekday,12-17,0-3	9.06005021642,747.111031211
weekday,12-17,12-15	44.8251268124,2885.91322712
weekday,12-17,15-18	52.6993975894,3445.46936739
weekday,12-17,18-21	54.1689186419,3706.9081345
weekday,12-17,21-24	56.3144028126,4060.59029597
weekday,12-17,24-infinite	86.703446052,4250.91955597
weekday,12-17,3-6	18.9289207409,1610.84770376
weekday,12-17,6-9	27.456974703,1968.4044696
weekday,12-17,9-12	35.2937094524,2422.81069008
weekday,17-20,0-3	8.50007265936,657.946616629
weekday,17-20,3-6	17.2109011666,1346.31460596
weekday,17-20,6-9	25.3841428882,1659.10962501
weekday,17-20,9-12	32.908464532,1982.33647132
weekday,17-20,12-15	41.7367344631,2357.83728173
weekday,17-20,15-18	51.0682877661,2660.55108014
weekday,17-20,18-21	53.061338676,2868.61729305
weekday,17-20,21-24	57.3543718822,3160.44816888
weekday,17-20,24-infinite	88.1769045753,3447.52818132
weekday,20-22,0-3	8.19516360397,597.332719524
weekday,20-22,3-6	16.5080160898,1198.7884691
weekday,20-22,6-9	24.9032353622,1547.04852559
weekday,20-22,9-12	32.1653856207,1745.80830966
weekday,20-22,12-15	40.3490386097,2057.71641859
weekday,20-22,15-18	49.7764803932,2180.76486246
weekday,20-22,18-21	53.0041918227,2421.07992464
weekday,20-22,21-24	58.3452598761,2680.43676766
weekday,20-22,24-infinite	90.1651011254,3147.44912253
weekday,22-24,0-3	8.20802278603,574.490885007
weekday,22-24,3-6	16.518574594,1179.42430736
weekday,22-24,6-9	25.1138413619,1589.99639095
weekday,22-24,9-12	32.3445706579,1771.83703941
weekday,22-24,12-15	40.4418003657,2051.32761342
weekday,22-24,15-18	49.5614172614,2084.28057166
weekday,22-24,18-21	53.0690457947,2254.18901483
weekday,22-24,21-24	58.9398090186,2567.8137931
weekday,22-24,24-infinite	92.5879181212,3125.060457
weekend,00-7,0-3	8.19700620875,604.678938022
weekend,00-7,3-6	15.9817318188,1173.65570333
weekend,00-7,6-9	24.2700514339,1604.86052789
weekend,00-7,9-12	31.7127961123,1799.52756088
weekend,00-7,12-15	39.9319880387,2104.32630957
weekend,00-7,15-18	50.4484965784,2021.33207602
weekend,00-7,18-21	53.9817795572,2217.51200355
weekend,00-7,21-24	60.3067325135,2633.43873943
weekend,00-7,24-infinite	90.9287667411,3329.60580357
weekend,7-10,0-3	7.51538855167,504.88710332
weekend,7-10,3-6	15.5575656599,1058.12378918
weekend,7-10,6-9	23.8922658422,1339.6211729
weekend,7-10,9-12	31.3426013134,1577.03476032
weekend,7-10,12-15	40.1960156201,1869.42379447
weekend,7-10,15-18	51.9715664549,1972.59184244
weekend,7-10,18-21	53.7621246949,2284.70343521
weekend,7-10,21-24	57.1583934764,2640.74721155
weekend,7-10,24-infinite	102.082569697,3283.12929293
weekend,10-12,0-3	8.06495281064,605.457290784
weekend,10-12,3-6	16.6501693743,1263.48332513
weekend,10-12,6-9	24.8786260211,1539.56532318
weekend,10-12,9-12	32.4325122639,1797.1366732
weekend,10-12,12-15	41.2547462445,2194.79185915
weekend,10-12,15-18	52.2231398846,2346.286231
weekend,10-12,18-21	53.8500534586,2700.32494536
weekend,10-12,21-24	56.3924858393,3042.3784758
weekend,10-12,24-infinite	84.173090743,3910.10109622
weekend,12-17,0-3	8.54377948509,665.649296175
weekend,12-17,3-6	17.3120181744,1384.90733253
weekend,12-17,6-9	25.6485318803,1697.44585776
weekend,12-17,9-12	33.1467474784,2011.55909957
weekend,12-17,12-15	42.9244872656,2472.09472896
weekend,12-17,15-18	52.3545834183,2868.01491991
weekend,12-17,18-21	53.7543944935,3190.88448349
weekend,12-17,21-24	55.8581606218,3546.95339872
weekend,12-17,24-infinite	83.9762811557,4006.76480394
weekend,17-20,0-3	8.41257641047,663.086799815
weekend,17-20,3-6	17.1602474815,1338.40985051
weekend,17-20,6-9	25.2359372126,1645.77321613
weekend,17-20,9-12	32.4419902684,1890.05429904
weekend,17-20,12-15	41.448164557,2293.20536412
weekend,17-20,15-18	51.1874105563,2617.44048644
weekend,17-20,18-21	52.9301915396,2917.95794696
weekend,17-20,21-24	56.0774608087,3207.9156967
weekend,17-20,24-infinite	85.872439401,3562.05666203
weekend,20-22,0-3	8.25265646276,622.847680217
weekend,20-22,3-6	16.4030187919,1217.83411355
weekend,20-22,6-9	24.7529247359,1549.78378205
weekend,20-22,9-12	31.7643645138,1713.02607565
weekend,20-22,12-15	40.1794789423,2042.55520668
weekend,20-22,15-18	49.9612172964,2242.064228
weekend,20-22,18-21	52.594616096,2498.64952407
weekend,20-22,21-24	56.620221494,2813.84156402
weekend,20-22,24-infinite	86.6812720764,3165.3202864
weekend,22-24,0-3	8.22185926344,619.001101323
weekend,22-24,3-6	16.5306055385,1218.10874013
weekend,22-24,6-9	24.8787627699,1564.46248196
weekend,22-24,9-12	31.8291659317,1709.47882355
weekend,22-24,12-15	40.0174448071,2011.1242561
weekend,22-24,15-18	49.4003438702,1981.78963519
weekend,22-24,18-21	52.5792766043,2202.90815143
weekend,22-24,21-24	57.8952591269,2499.68675006
weekend,22-24,24-infinite	90.501529052,3053.48267074
